,total_hourly_usage
0,45.72901016499999
1,43.74311012
2,43.780941426
3,44.27123511400001
4,44.946671426
5,45.423447675000006
6,46.096238968
7,45.732357027
8,42.532136977
9,42.408845843
10,42.493323327999995
11,43.756584524000004
12,43.098276138
13,42.994673132
14,43.91745609
15,42.911119345
16,43.812628149999995
17,45.52993703
18,44.942934394000005
19,45.164928139000004
20,44.628935546
21,44.632704737
22,44.858041884
23,44.934854746999996
24,45.796824279999996
25,45.308207098
26,45.291952308
27,45.817462330000005
28,46.474933267999994
29,54.235752708
30,53.924859999000006
31,51.979200721
32,49.368275938
33,50.034451187
34,49.060224772999995
35,48.150408152
36,47.725499338
37,48.450850843
38,47.51169401400001
39,47.000109879
40,47.336843761
41,52.24097148
42,51.076393247999995
43,50.912280382999995
44,50.735220611
45,48.63411891
46,46.135385727
47,45.837030387
48,45.240675300999996
49,44.406103468
50,44.258470917
51,44.757536654000006
52,45.299042644
53,49.318458445
54,52.151587372
55,50.777660791
56,47.901082577
57,47.645280784
58,47.346402825000006
59,46.412850859
60,47.23778051400001
61,45.793566175
62,48.896565079
63,48.273067774
64,47.78069522599999
65,50.17141729800001
66,49.623531168
67,49.527723943
68,51.099171045999995
69,47.75917104
70,45.704474395000005
71,45.565364276
72,45.066185919999995
73,44.069755734
74,43.905311769
75,44.695180091
76,45.357777805
77,50.21069569
78,53.886587592999994
79,51.284282988
80,48.481501046
81,47.994393348
82,49.351508684
83,49.408220002
84,48.08802044
85,51.526458028
86,48.383184497
87,50.28553998900001
88,49.490592183
89,51.470098318000005
90,52.077048725
91,52.12448216
92,49.774912154000006
93,48.419686556
94,46.987752555
95,46.919125499
96,47.013832394
97,46.03308445300001
98,45.986296951
99,46.693039420000005
100,46.666871725
101,50.162266081000006
102,51.713790299
103,51.21218604
104,48.414343896000005
105,50.374976518000004
106,50.419885877999995
107,51.117178496
108,52.461237546999996
109,51.139130601
110,50.519997781
111,51.567431389
112,49.580651105
113,50.887390314
114,51.270674883
115,52.562801064
116,50.69006138899999
117,49.351402637999996
118,47.156434004999994
119,46.903570771
120,46.367479746
121,45.307155011
122,45.151163635
123,45.528503422
124,46.507474478999995
125,51.765331154
126,50.68847430300001
127,50.67625868700001
128,48.029683418000005
129,48.953346075
130,50.44852317
131,52.059821787000004
132,51.010171228999994
133,51.659490821000006
134,52.589295382
135,51.122620649
136,51.614681007
137,53.597572508
138,52.189181512999994
139,51.438417913
140,51.49001103399999
141,49.463730163
142,46.960818704000005
143,46.679198269
144,45.99465120600001
145,44.823182702
146,44.7389158
147,45.561214863
148,45.962257623
149,51.058365765
150,50.62318873900001
151,50.506572781
152,48.119711753999994
153,47.863057203
154,50.74029046300001
155,49.592048471
156,49.147479828
157,51.078612026
158,51.166609411
159,51.991151334
160,48.69712585399999
161,53.351800799
162,52.817555315999996
163,50.914911335
164,50.236900299000006
165,48.135780845
166,46.560054418
167,46.303175872000004
168,45.760253367000004
169,44.657717765
170,44.481813133
171,45.093297248999995
172,45.731241528
173,49.476937416000005
174,50.237477774
175,50.529360772000004
176,48.659188867999994
177,49.686452514
178,51.060615719
179,50.55803967
180,51.880616726999996
181,51.587224129000006
182,51.781020754000004
183,49.533685985999995
184,49.828343004999994
185,52.540259185000004
186,50.766433723
187,50.709315243
188,49.118648914
189,48.748315634
190,45.63969278
191,45.152275955
192,44.617186403000005
193,43.757502975
194,43.984136764000006
195,44.814740303
196,45.51868111099999
197,49.133146766
198,49.911128524
199,49.622613367999996
200,46.618620932000006
201,47.558510959
202,47.220041093999995
203,49.001352852
204,48.847973348000004
205,48.519570176
206,48.885828913
207,47.701825224
208,48.256269927
209,49.941624407
210,51.419549294
211,50.305933504
212,48.930411667
213,47.087886603
214,45.522285933999996
215,45.67850661199999
216,45.322071140000006
217,44.339258435
218,44.29233384
219,45.388739768
220,45.915857377
221,50.86550712499999
222,50.295053900999996
223,50.079862297999995
224,47.329051434
225,48.04219008300001
226,48.274659813
227,47.085101669
228,48.678480565
229,49.90257883299999
230,50.440261549999995
231,49.614497188
232,48.635189924
233,52.47645080699999
234,52.645679007
235,50.741091407
236,50.718189534
237,48.369336574
238,46.312058686
239,46.30701423
240,45.787880481
241,44.811950212
242,44.496674057999996
243,45.138921326
244,45.533913192
245,50.285395739
246,50.720991731
247,50.236848179
248,47.800644879000004
249,49.484206266
250,48.777997021000004
251,50.747626663
252,50.489947320999995
253,53.477482857
254,51.838904856999996
255,52.229404986
256,49.88085347
257,53.080430451
258,52.377721787000006
259,51.110239714
260,49.929312347999996
261,48.456911711000004
262,46.325587899
263,45.688757839
264,45.60266918000001
265,44.55975843
266,44.528950750999996
267,45.12806869
268,45.703463441
269,49.483264027000004
270,50.848555215
271,51.7635724
272,49.240303997
273,50.83330149
274,50.788303494999994
275,52.005125351000004
276,53.62471013900001
277,54.307185231000005
278,51.82529503
279,52.208392235999995
280,49.830758399
281,55.570252483999994
282,52.757320169
283,54.214749391
284,53.905530876
285,52.446747218000006
286,48.25685546
287,45.999116267
288,45.241840399
289,44.220270756000005
290,43.912515162999995
291,44.462735531999996
292,45.517974974
293,49.231001737
294,50.66693806999999
295,50.675290406
296,48.020064356
297,50.908758287
298,51.083925312
299,53.754515997
300,55.027206191
301,53.004695680999994
302,58.283842738
303,57.257915646
304,58.776368827999995
305,53.91427552900001
306,55.092177873
307,54.616278263999995
308,54.389570688000006
309,53.112393448999995
310,48.999286021
311,49.280865795000004
312,48.166814418
313,45.533024996
314,44.081042024
315,44.732875025
316,45.166836922
317,48.352320432
318,49.523633751000006
319,49.10717806299999
320,48.149188431
321,46.955871519
322,51.52832111699999
323,52.23162157
324,51.984330423
325,54.326704621
326,59.70652732800001
327,54.151637705999995
328,53.601202404000006
329,54.944479345
330,53.677539417999995
331,52.427141841
332,52.57902980200001
333,51.544830238
334,47.316170364
335,45.436102692999995
336,45.26469383
337,44.028394585
338,43.76671496
339,44.038369355
340,45.152619514
341,48.501271007
342,49.864957661000005
343,49.799611332
344,47.206648292
345,47.922756731
346,49.00555903
347,52.535941938
348,51.190940859
349,54.352141614000004
350,55.731549173
351,53.819111918
352,52.216497608000005
353,53.802149203000006
354,50.728053517
355,49.678159155
356,50.393353637000004
357,49.680622553
358,49.902746892
359,47.93748248
360,45.227842188000004
361,44.034923918
362,43.812319781
363,44.280639475
364,44.802750441
365,48.387501839
366,49.249175878
367,48.887541657
368,46.108352964999995
369,46.421751616
370,50.434069483
371,52.661189979
372,50.193663152
373,52.832147484
374,56.911929165000004
375,52.349936697000004
376,53.746846733999995
377,51.118805591
378,51.985481453000006
379,50.763804459
380,51.557575552
381,50.715211219000004
382,46.97947130599999
383,45.739067172
384,45.08556827699999
385,44.329475767000005
386,44.04996088
387,44.888402728
388,44.659964419
389,48.76931801200001
390,49.447041270999996
391,48.926870262
392,46.306853239
393,46.524811752
394,50.336556353
395,52.699157394000004
396,52.243296005
397,59.170324417
398,53.87158833000001
399,57.600945862
400,53.793577587
401,58.299563473000006
402,53.60852759900001
403,52.85849369
404,53.692018303
405,50.011846251
406,49.10830909
407,48.93718577
408,46.080359220999995
409,42.744784057
410,42.559629769
411,42.998673386
412,43.293370099
413,45.95712515900001
414,46.079792499
415,46.601475746000006
416,43.925336096
417,43.97522515
418,46.103896647
419,45.19298634
420,44.918804856
421,44.730576964
422,44.378409032
423,44.560783212
424,43.28528952999999
425,46.174269502
426,47.961726549
427,47.66751829
428,47.563369101
429,46.143303097
430,47.218543144
431,46.895274075
432,46.276224968
433,47.212901677999994
434,46.142188399
435,46.8701407
436,48.32430936
437,53.438887809
438,55.037059729
439,51.261556836
440,48.969526294999994
441,49.733504654
442,52.364753363
443,57.617994319000005
444,54.065751739
445,52.660547890000004
446,55.894412669
447,54.358682065
448,54.692342733
449,55.022844166
450,55.292766126
451,54.253407515999996
452,54.914757050000006
453,57.479836795
454,47.353436321
455,47.077716381
456,49.453002876000006
457,44.806763325
458,44.68011284399999
459,48.936989698
460,45.403232335
461,52.432465672
462,50.258594363
463,56.811980671
464,51.074952546999995
465,49.87375528199999
466,52.694212854
467,57.176922503
468,54.580934476
469,54.138729127
470,58.195179384999996
471,53.669683817999996
472,52.826911577
473,56.11673549500001
474,54.084830466
475,58.452602895000005
476,53.19423339000001
477,49.024290472
478,46.843903454999996
479,46.290147092
480,45.738713082000004
481,44.654406819
482,44.546990126
483,45.263339255999995
484,45.487120155
485,49.863881115000005
486,50.939379392000006
487,50.73288661800001
488,49.099292876
489,51.536345962
490,50.835329475
491,52.64781123
492,53.76892180099999
493,55.010025985999995
494,51.040216627999996
495,53.04680545
496,49.845606561
497,54.317392774000005
498,52.727020092000004
499,51.194834384
500,50.394560819
501,48.407575341
502,46.822249204
503,46.743762526
504,46.369072915
505,45.049705212
506,45.453241978
507,45.607571729
508,52.164756542
509,50.832452538
510,55.109325172
511,59.505494538
512,55.084038199000005
513,60.29966456100001
514,58.275285901000004
515,53.72391104500001
516,60.529124857999996
517,61.966381845
518,52.941986858
519,47.847215891
520,47.329788029
521,50.108506805000005
522,50.929002883
523,51.248914778
524,50.526057778
525,48.750381352999995
526,46.878996851
527,46.801520951
528,46.321453093
529,45.157228416
530,45.048218604999995
531,45.612868255
532,46.08542979199999
533,51.092556181999996
534,51.012183427
535,50.653199193999995
536,47.758670811
537,49.664893385999996
538,50.726879423999996
539,47.713989076999994
540,46.946225649
541,46.613943279
542,49.530632024999996
543,51.056013832000005
544,48.613331644
545,53.390257686000005
546,51.533729314999995
547,63.181859679
548,62.67362347700001
549,63.720792894
550,53.091196601
551,54.712602374
552,48.40794551799999
553,47.606090729
554,44.933679823
555,45.501335212
556,46.090297585
557,52.651996792
558,51.432522772
559,51.040830139
560,48.47260535
561,47.939307577
562,47.899803817000006
563,49.235515361000004
564,47.534363623999994
565,48.931929653
566,48.141835755
567,48.557577970000004
568,48.328914461000004
569,54.286787039000004
570,51.425540031
571,53.242420255
572,52.644789451
573,50.02002847000001
574,47.69752961900001
575,47.553000038
576,51.58181273199999
577,47.698600954999996
578,46.467441441000005
579,45.978534880999995
580,46.498553461
581,53.487014832
582,51.90052760099999
583,51.890900192000004
584,49.796058362
585,49.33865720399999
586,52.382866861000004
587,50.8586765
588,51.15685815
589,50.46199602
590,50.633572705
591,50.133473155000004
592,49.66296064800001
593,52.031277961
594,52.81825590700001
595,52.72898054400001
596,52.485674266
597,50.304447834
598,48.221131267000004
599,47.760442793
600,47.427778242
601,46.01321190899999
602,46.061962668
603,46.630515698
604,46.871599263
605,54.382180569999996
606,52.41721005
607,51.166135192000006
608,49.932054823
609,51.693787573
610,54.862786588999995
611,52.631549538
612,52.088169641
613,53.049508566
614,53.70094579799999
615,53.164311053
616,51.061260824
617,53.42804008800001
