Wind Speed (m/s),Wind Direction (°),ActivePower (kW)
5.31133604,259.9949036,380.0477905
5.672166824,268.6411133,453.7691956
5.216036797,272.5647888,306.3765869
5.659674168,271.2580872,419.6459045
5.577940941,265.6742859,380.6506958
5.604052067,264.5786133,402.3919983
5.793007851,266.1636047,447.6057129
5.306049824,257.9494934,387.2421875
5.584629059,253.4806976,463.6512146
5.523228168,258.7237854,439.725708
5.724115849,251.8509979,498.1817017
5.934198856,265.5046997,526.8162231
6.547413826,274.2329102,710.5872803
6.199746132,266.7331848,655.1942749
6.505383015,266.7604065,754.7625122
6.634116173,270.4931946,790.1732788
6.378912926,266.5932922,742.9852905
6.446652889,265.5718079,748.2296143
6.415082932,261.1586914,736.6478271
6.437530994,257.5602112,787.2462158
6.220024109,255.9264984,722.8640747
6.89802599,250.0128937,935.0333862
7.60971117,255.9857025,1220.609009
7.288355827,255.4445953,1053.771973
7.943101883,256.4074097,1493.807983
8.376161575,252.4125977,1724.488037
8.23695755,247.9794006,1636.935059
7.879590988,238.6096039,1385.488037
7.101376057,245.0955963,1098.932007
6.955307007,245.410202,1021.458008
7.098298073,235.2279053,1164.892944
6.953630924,242.8726959,1073.332031
7.249577999,244.8356934,1165.307983
7.294691086,242.4815979,1177.98999
7.376369953,247.9772034,1170.536011
7.448554039,249.6829987,1145.536011
7.23925209,248.401001,1114.026978
7.329211235,244.6217041,1153.185059
7.139705181,244.6318054,1125.331055
7.474228859,245.7859955,1228.732056
7.033174038,248.6522064,1021.79303
6.886455059,244.6116943,957.3781738
6.887821198,235.8482971,909.8878174
7.216432095,232.8426971,1000.953979
7.068597794,229.933197,1024.478027
6.938295841,230.1367035,1009.533997
6.536687851,234.9338074,899.492981
6.180624962,232.8379059,725.1101074
5.816825867,240.3287964,585.2593994
5.450150967,238.126297,443.9139099
5.81814909,235.800293,565.2537842
6.130272865,224.9586945,644.0377808
6.347077847,216.803894,712.0588989
6.347436905,205.7852936,737.3947754
6.194368839,199.8484955,725.868103
4.977198124,207.9978027,408.997406
5.959111214,210.954895,628.4368286
6.21137619,215.6940002,716.1005859
